x,y,z
0.000000,0.000000,0.041702
0.000000,0.020000,0.076242
0.000000,0.040000,0.111224
0.000000,0.060000,0.146486
0.000000,0.080000,0.181862
0.000000,0.100000,0.217181
0.000000,0.120000,0.252269
0.000000,0.140000,0.286956
0.000000,0.160000,0.321080
0.000000,0.180000,0.354486
0.000000,0.200000,0.387032
0.000000,0.220000,0.418591
0.000000,0.240000,0.449054
0.000000,0.260000,0.478328
0.000000,0.280000,0.506340
0.000000,0.300000,0.533033
0.000000,0.320000,0.558372
0.000000,0.340000,0.582335
0.000000,0.360000,0.604919
0.000000,0.380000,0.626131
0.000000,0.400000,0.645993
0.000000,0.420000,0.664536
0.000000,0.440000,0.681801
0.000000,0.460000,0.697832
0.000000,0.480000,0.712680
0.000000,0.500000,0.726399
0.000000,0.520000,0.739046
0.000000,0.540000,0.750676
0.000000,0.560000,0.761347
0.000000,0.580000,0.771113
0.000000,0.600000,0.780027
0.000000,0.620000,0.788142
0.000000,0.640000,0.795505
0.000000,0.660000,0.802164
0.000000,0.680000,0.808160
0.000000,0.700000,0.813534
0.000000,0.720000,0.818323
0.000000,0.740000,0.822559
0.000000,0.760000,0.826275
0.000000,0.780000,0.829497
0.000000,0.800000,0.832251
0.000000,0.820000,0.834558
0.000000,0.840000,0.836438
0.000000,0.860000,0.837908
0.000000,0.880000,0.838982
0.000000,0.900000,0.839673
0.000000,0.920000,0.839992
0.000000,0.940000,0.839945
0.000000,0.960000,0.839540
0.000000,0.980000,0.838780
0.020000,0.000000,0.081775
0.020000,0.020000,0.116610
0.020000,0.040000,0.151713
0.020000,0.060000,0.186918
0.020000,0.080000,0.222054
0.020000,0.100000,0.256950
0.020000,0.120000,0.291437
0.020000,0.140000,0.325353
0.020000,0.160000,0.358546
0.020000,0.180000,0.390877
0.020000,0.200000,0.422220
0.020000,0.220000,0.452466
0.020000,0.240000,0.481526
0.020000,0.260000,0.509327
0.020000,0.280000,0.535815
0.020000,0.300000,0.560954
0.020000,0.320000,0.584725
0.020000,0.340000,0.607125
0.020000,0.360000,0.628161
0.020000,0.380000,0.647857
0.020000,0.400000,0.666243
0.020000,0.420000,0.683359
0.020000,0.440000,0.699251
0.020000,0.460000,0.713969
0.020000,0.480000,0.727567
0.020000,0.500000,0.740100
0.020000,0.520000,0.751625
0.020000,0.540000,0.762197
0.020000,0.560000,0.771871
0.020000,0.580000,0.780700
0.020000,0.600000,0.788735
0.020000,0.620000,0.796024
0.020000,0.640000,0.802614
0.020000,0.660000,0.808545
0.020000,0.680000,0.813858
0.020000,0.700000,0.818589
0.020000,0.720000,0.822771
0.020000,0.740000,0.826435
0.020000,0.760000,0.829607
0.020000,0.780000,0.832313
0.020000,0.800000,0.834575
0.020000,0.820000,0.836410
0.020000,0.840000,0.837837
0.020000,0.860000,0.838869
0.020000,0.880000,0.839518
0.020000,0.900000,0.839795
0.020000,0.920000,0.839706
0.020000,0.940000,0.839259
0.020000,0.960000,0.838458
0.020000,0.980000,0.837303
0.040000,0.000000,0.122139
0.040000,0.020000,0.157077
0.040000,0.040000,0.192104
0.040000,0.060000,0.227050
0.040000,0.080000,0.261747
0.040000,0.100000,0.296027
0.040000,0.120000,0.329730
0.040000,0.140000,0.362705
0.040000,0.160000,0.394814
0.040000,0.180000,0.425934
0.040000,0.200000,0.455958
0.040000,0.220000,0.484799
0.040000,0.240000,0.512384
0.040000,0.260000,0.538662
0.040000,0.280000,0.563598
0.040000,0.300000,0.587173
0.040000,0.320000,0.609384
0.040000,0.340000,0.630242
0.040000,0.360000,0.649768
0.040000,0.380000,0.667994
0.040000,0.400000,0.684959
0.040000,0.420000,0.700709
0.040000,0.440000,0.715294
0.040000,0.460000,0.728768
0.040000,0.480000,0.741186
0.040000,0.500000,0.752603
0.040000,0.520000,0.763075
0.040000,0.540000,0.772655
0.040000,0.560000,0.781398
0.040000,0.580000,0.789352
0.040000,0.600000,0.796566
0.040000,0.620000,0.803084
0.040000,0.640000,0.808950
0.040000,0.660000,0.814200
0.040000,0.680000,0.818873
0.040000,0.700000,0.823000
0.040000,0.720000,0.826611
0.040000,0.740000,0.829733
0.040000,0.760000,0.832391
0.040000,0.780000,0.834606
0.040000,0.800000,0.836396
0.040000,0.820000,0.837779
0.040000,0.840000,0.838768
0.040000,0.860000,0.839375
0.040000,0.880000,0.839609
0.040000,0.900000,0.839479
0.040000,0.920000,0.838990
0.040000,0.940000,0.838145
0.040000,0.960000,0.836948
0.040000,0.980000,0.835398
0.060000,0.000000,0.162580
0.060000,0.020000,0.197422
0.060000,0.040000,0.232173
0.060000,0.060000,0.266665
0.060000,0.080000,0.300731
0.060000,0.100000,0.334213
0.060000,0.120000,0.366963
0.060000,0.140000,0.398845
0.060000,0.160000,0.429736
0.060000,0.180000,0.459533
0.060000,0.200000,0.488149
0.060000,0.220000,0.515513
0.060000,0.240000,0.541576
0.060000,0.260000,0.566304
0.060000,0.280000,0.589679
0.060000,0.300000,0.611699
0.060000,0.320000,0.632374
0.060000,0.340000,0.651727
0.060000,0.360000,0.669789
0.060000,0.380000,0.686600
0.060000,0.400000,0.702206
0.060000,0.420000,0.716656
0.060000,0.440000,0.730004
0.060000,0.460000,0.742304
0.060000,0.480000,0.753612
0.060000,0.500000,0.763982
0.060000,0.520000,0.773468
0.060000,0.540000,0.782122
0.060000,0.560000,0.789994
0.060000,0.580000,0.797131
0.060000,0.600000,0.803577
0.060000,0.620000,0.809375
0.060000,0.640000,0.814563
0.060000,0.660000,0.819176
0.060000,0.680000,0.823246
0.060000,0.700000,0.826804
0.060000,0.720000,0.829875
0.060000,0.740000,0.832484
0.060000,0.760000,0.834652
0.060000,0.780000,0.836397
0.060000,0.800000,0.837735
0.060000,0.820000,0.838680
0.060000,0.840000,0.839244
0.060000,0.860000,0.839435
0.060000,0.880000,0.839263
0.060000,0.900000,0.838731
0.060000,0.920000,0.837844
0.060000,0.940000,0.836603
0.060000,0.960000,0.835009
0.060000,0.980000,0.833060
0.080000,0.000000,0.202877
0.080000,0.020000,0.237425
0.080000,0.040000,0.271704
0.080000,0.060000,0.305550
0.080000,0.080000,0.338805
0.080000,0.100000,0.371324
0.080000,0.120000,0.402972
0.080000,0.140000,0.433629
0.080000,0.160000,0.463192
0.080000,0.180000,0.491577
0.080000,0.200000,0.518716
0.080000,0.220000,0.544560
0.080000,0.240000,0.569075
0.080000,0.260000,0.592245
0.080000,0.280000,0.614069
0.080000,0.300000,0.634558
0.080000,0.320000,0.653735
0.080000,0.340000,0.671630
0.080000,0.360000,0.688285
0.080000,0.380000,0.703743
0.080000,0.400000,0.718056
0.080000,0.420000,0.731276
0.080000,0.440000,0.743456
0.080000,0.460000,0.754652
0.080000,0.480000,0.764918
0.080000,0.500000,0.774308
0.080000,0.520000,0.782872
0.080000,0.540000,0.790660
0.080000,0.560000,0.797719
0.080000,0.580000,0.804093
0.080000,0.600000,0.809823
0.080000,0.620000,0.814946
0.080000,0.640000,0.819498
0.080000,0.660000,0.823512
0.080000,0.680000,0.827015
0.080000,0.700000,0.830034
0.080000,0.720000,0.832594
0.080000,0.740000,0.834713
0.080000,0.760000,0.836412
0.080000,0.780000,0.837705
0.080000,0.800000,0.838605
0.080000,0.820000,0.839126
0.080000,0.840000,0.839274
0.080000,0.860000,0.839058
0.080000,0.880000,0.838483
0.080000,0.900000,0.837553
0.080000,0.920000,0.836268
0.080000,0.940000,0.834630
0.080000,0.960000,0.832636
0.080000,0.980000,0.830283
0.100000,0.000000,0.242809
0.100000,0.020000,0.276869
0.100000,0.040000,0.310487
0.100000,0.060000,0.343509
0.100000,0.080000,0.375789
0.100000,0.100000,0.407197
0.100000,0.120000,0.437613
0.100000,0.140000,0.466938
0.100000,0.160000,0.495087
0.100000,0.180000,0.521995
0.100000,0.200000,0.547614
0.100000,0.220000,0.571912
0.100000,0.240000,0.594873
0.100000,0.260000,0.616498
0.100000,0.280000,0.636797
0.100000,0.300000,0.655793
0.100000,0.320000,0.673519
0.100000,0.340000,0.690014
0.100000,0.360000,0.705323
0.100000,0.380000,0.719496
0.100000,0.400000,0.732584
0.100000,0.420000,0.744643
0.100000,0.440000,0.755725
0.100000,0.460000,0.765886
0.100000,0.480000,0.775177
0.100000,0.500000,0.783650
0.100000,0.520000,0.791353
0.100000,0.540000,0.798333
0.100000,0.560000,0.804632
0.100000,0.580000,0.810292
0.100000,0.600000,0.815350
0.100000,0.620000,0.819841
0.100000,0.640000,0.823796
0.100000,0.660000,0.827244
0.100000,0.680000,0.830211
0.100000,0.700000,0.832720
0.100000,0.720000,0.834791
0.100000,0.740000,0.836442
0.100000,0.760000,0.837689
0.100000,0.780000,0.838545
0.100000,0.800000,0.839021
0.100000,0.820000,0.839126
0.100000,0.840000,0.838867
0.100000,0.860000,0.838248
0.100000,0.880000,0.837274
0.100000,0.900000,0.835944
0.100000,0.920000,0.834261
0.100000,0.940000,0.832221
0.100000,0.960000,0.829821
0.100000,0.980000,0.827058
0.120000,0.000000,0.282161
0.120000,0.020000,0.315544
0.120000,0.040000,0.348326
0.120000,0.060000,0.380362
0.120000,0.080000,0.411522
0.120000,0.100000,0.441692
0.120000,0.120000,0.470771
0.120000,0.140000,0.498679
0.120000,0.160000,0.525351
0.120000,0.180000,0.550740
0.120000,0.200000,0.574816
0.120000,0.220000,0.597565
0.120000,0.240000,0.618986
0.120000,0.260000,0.639091
0.120000,0.280000,0.657904
0.120000,0.300000,0.675456
0.120000,0.320000,0.691789
0.120000,0.340000,0.706945
0.120000,0.360000,0.720975
0.120000,0.380000,0.733931
0.120000,0.400000,0.745865
0.120000,0.420000,0.756832
0.120000,0.440000,0.766885
0.120000,0.460000,0.776077
0.120000,0.480000,0.784457
0.120000,0.500000,0.792073
0.120000,0.520000,0.798972
0.120000,0.540000,0.805196
0.120000,0.560000,0.810785
0.120000,0.580000,0.815777
0.120000,0.600000,0.820205
0.120000,0.620000,0.824101
0.120000,0.640000,0.827493
0.120000,0.660000,0.830407
0.120000,0.680000,0.832864
0.120000,0.700000,0.834886
0.120000,0.720000,0.836489
0.120000,0.740000,0.837690
0.120000,0.760000,0.838500
0.120000,0.780000,0.838932
0.120000,0.800000,0.838992
0.120000,0.820000,0.838688
0.120000,0.840000,0.838026
0.120000,0.860000,0.837007
0.120000,0.880000,0.835633
0.120000,0.900000,0.833904
0.120000,0.920000,0.831817
0.120000,0.940000,0.829370
0.120000,0.960000,0.826558
0.120000,0.980000,0.823374
0.140000,0.000000,0.320725
0.140000,0.020000,0.353258
0.140000,0.040000,0.385043
0.140000,0.060000,0.415950
0.140000,0.080000,0.445866
0.140000,0.100000,0.474695
0.140000,0.120000,0.502356
0.140000,0.140000,0.528786
0.140000,0.160000,0.553940
0.140000,0.180000,0.577790
0.140000,0.200000,0.600321
0.140000,0.220000,0.621534
0.140000,0.240000,0.641441
0.140000,0.260000,0.660067
0.140000,0.280000,0.677444
0.140000,0.300000,0.693610
0.140000,0.320000,0.708611
0.140000,0.340000,0.722496
0.140000,0.360000,0.735316
0.140000,0.380000,0.747124
0.140000,0.400000,0.757974
0.140000,0.420000,0.767918
0.140000,0.440000,0.777007
0.140000,0.460000,0.785292
0.140000,0.480000,0.792821
0.140000,0.500000,0.799637
0.140000,0.520000,0.805785
0.140000,0.540000,0.811302
0.140000,0.560000,0.816227
0.140000,0.580000,0.820591
0.140000,0.600000,0.824427
0.140000,0.620000,0.827762
0.140000,0.640000,0.830621
0.140000,0.660000,0.833027
0.140000,0.680000,0.834998
0.140000,0.700000,0.836553
0.140000,0.720000,0.837707
0.140000,0.740000,0.838471
0.140000,0.760000,0.838857
0.140000,0.780000,0.838872
0.140000,0.800000,0.838524
0.140000,0.820000,0.837817
0.140000,0.840000,0.836753
0.140000,0.860000,0.835333
0.140000,0.880000,0.833558
0.140000,0.900000,0.831425
0.140000,0.920000,0.828930
0.140000,0.940000,0.826069
0.140000,0.960000,0.822834
0.140000,0.980000,0.819219
0.160000,0.000000,0.358309
0.160000,0.020000,0.389835
0.160000,0.040000,0.420482
0.160000,0.060000,0.450139
0.160000,0.080000,0.478710
0.160000,0.100000,0.506118
0.160000,0.120000,0.532301
0.160000,0.140000,0.557216
0.160000,0.160000,0.580834
0.160000,0.180000,0.603143
0.160000,0.200000,0.624143
0.160000,0.220000,0.643850
0.160000,0.240000,0.662285
0.160000,0.260000,0.679482
0.160000,0.280000,0.695479
0.160000,0.300000,0.710322
0.160000,0.320000,0.724059
0.160000,0.340000,0.736741
0.160000,0.360000,0.748421
0.160000,0.380000,0.759151
0.160000,0.400000,0.768984
0.160000,0.420000,0.777970
0.160000,0.440000,0.786159
0.160000,0.460000,0.793597
0.160000,0.480000,0.800330
0.160000,0.500000,0.806400
0.160000,0.520000,0.811844
0.160000,0.540000,0.816700
0.160000,0.560000,0.821000
0.160000,0.580000,0.824775
0.160000,0.600000,0.828052
0.160000,0.620000,0.830856
0.160000,0.640000,0.833208
0.160000,0.660000,0.835129
0.160000,0.680000,0.836635
0.160000,0.700000,0.837741
0.160000,0.720000,0.838458
0.160000,0.740000,0.838798
0.160000,0.760000,0.838768
0.160000,0.780000,0.838374
0.160000,0.800000,0.837622
0.160000,0.820000,0.836512
0.160000,0.840000,0.835047
0.160000,0.860000,0.833226
0.160000,0.880000,0.831045
0.160000,0.900000,0.828502
0.160000,0.920000,0.825591
0.160000,0.940000,0.822305
0.160000,0.960000,0.818638
0.160000,0.980000,0.814579
0.180000,0.000000,0.394740
0.180000,0.020000,0.425120
0.180000,0.040000,0.454511
0.180000,0.060000,0.482819
0.180000,0.080000,0.509968
0.180000,0.100000,0.535898
0.180000,0.120000,0.560568
0.180000,0.140000,0.583949
0.180000,0.160000,0.606032
0.180000,0.180000,0.626816
0.180000,0.200000,0.646317
0.180000,0.220000,0.664558
0.180000,0.240000,0.681572
0.180000,0.260000,0.697398
0.180000,0.280000,0.712079
0.180000,0.300000,0.725666
0.180000,0.320000,0.738208
0.180000,0.340000,0.749757
0.180000,0.360000,0.760365
0.180000,0.380000,0.770084
0.180000,0.400000,0.778965
0.180000,0.420000,0.787056
0.180000,0.440000,0.794404
0.180000,0.460000,0.801052
0.180000,0.480000,0.807041
0.180000,0.500000,0.812412
0.180000,0.520000,0.817198
0.180000,0.540000,0.821432
0.180000,0.560000,0.825145
0.180000,0.580000,0.828363
0.180000,0.600000,0.831111
0.180000,0.620000,0.833410
0.180000,0.640000,0.835279
0.180000,0.660000,0.836735
0.180000,0.680000,0.837792
0.180000,0.700000,0.838462
0.180000,0.720000,0.838755
0.180000,0.740000,0.838679
0.180000,0.760000,0.838240
0.180000,0.780000,0.837442
0.180000,0.800000,0.836286
0.180000,0.820000,0.834775
0.180000,0.840000,0.832906
0.180000,0.860000,0.830678
0.180000,0.880000,0.828086
0.180000,0.900000,0.825125
0.180000,0.920000,0.821788
0.180000,0.940000,0.818067
0.180000,0.960000,0.813954
0.180000,0.980000,0.809438
0.200000,0.000000,0.429866
0.200000,0.020000,0.458984
0.200000,0.040000,0.487022
0.200000,0.060000,0.513906
0.200000,0.080000,0.539579
0.200000,0.100000,0.563998
0.200000,0.120000,0.587138
0.200000,0.140000,0.608990
0.200000,0.160000,0.629554
0.200000,0.180000,0.648845
0.200000,0.200000,0.666888
0.200000,0.220000,0.683716
0.200000,0.240000,0.699366
0.200000,0.260000,0.713884
0.200000,0.280000,0.727317
0.200000,0.300000,0.739716
0.200000,0.320000,0.751132
0.200000,0.340000,0.761616
0.200000,0.360000,0.771221
0.200000,0.380000,0.779994
0.200000,0.400000,0.787986
0.200000,0.420000,0.795240
0.200000,0.440000,0.801802
0.200000,0.460000,0.807711
0.200000,0.480000,0.813006
0.200000,0.500000,0.817721
0.200000,0.520000,0.821888
0.200000,0.540000,0.825538
0.200000,0.560000,0.828697
0.200000,0.580000,0.831388
0.200000,0.600000,0.833632
0.200000,0.620000,0.835449
0.200000,0.640000,0.836854
0.200000,0.660000,0.837862
0.200000,0.680000,0.838484
0.200000,0.700000,0.838730
0.200000,0.720000,0.838608
0.200000,0.740000,0.838122
0.200000,0.760000,0.837277
0.200000,0.780000,0.836076
0.200000,0.800000,0.834517
0.200000,0.820000,0.832601
0.200000,0.840000,0.830325
0.200000,0.860000,0.827683
0.200000,0.880000,0.824672
0.200000,0.900000,0.821283
0.200000,0.920000,0.817509
0.200000,0.940000,0.813341
0.200000,0.960000,0.808767
0.200000,0.980000,0.803777
0.220000,0.000000,0.463560
0.220000,0.020000,0.491322
0.220000,0.040000,0.517936
0.220000,0.060000,0.543344
0.220000,0.080000,0.567508
0.220000,0.100000,0.590402
0.220000,0.120000,0.612017
0.220000,0.140000,0.632357
0.220000,0.160000,0.651435
0.220000,0.180000,0.669276
0.220000,0.200000,0.685914
0.220000,0.220000,0.701386
0.220000,0.240000,0.715737
0.220000,0.260000,0.729014
0.220000,0.280000,0.741267
0.220000,0.300000,0.752548
0.220000,0.320000,0.762906
0.220000,0.340000,0.772394
0.220000,0.360000,0.781058
0.220000,0.380000,0.788948
0.220000,0.400000,0.796109
0.220000,0.420000,0.802582
0.220000,0.440000,0.808409
0.220000,0.460000,0.813627
0.220000,0.480000,0.818270
0.220000,0.500000,0.822370
0.220000,0.520000,0.825956
0.220000,0.540000,0.829054
0.220000,0.560000,0.831687
0.220000,0.580000,0.833876
0.220000,0.600000,0.835640
0.220000,0.620000,0.836994
0.220000,0.640000,0.837952
0.220000,0.660000,0.838525
0.220000,0.680000,0.838723
0.220000,0.700000,0.838553
0.220000,0.720000,0.838021
0.220000,0.740000,0.837130
0.220000,0.760000,0.835881
0.220000,0.780000,0.834275
0.220000,0.800000,0.832311
0.220000,0.820000,0.829986
0.220000,0.840000,0.827295
0.220000,0.860000,0.824233
0.220000,0.880000,0.820792
